Date / Time,City,State,Shape,Duration,Summary,Posted
6/13/2020 23:00,Mexico City (México),,Other,1.5 hours,Group of stationary objects/lights hovering over the outskirts of the city at height of maybe 1-3 kilometers,6/25/2020
6/13/2020 22:20,Cherry Hill,NJ,Light,3-4 minutes,8-10 Glowing orange orbs traveling from south to north at night.,6/25/2020
6/13/2020 21:15,Austin,TX,Sphere,1 minute,"2 ""planes"" that disapeared from view followed by 2 stationary bright orange &quot;objects&quot;",6/25/2020
6/13/2020 20:13,Amarillo,TX,Circle,1.5 hours,Bright reflective circular disk hovering above airplane traffic.,6/25/2020
6/13/2020 17:20,Portsmouth,VA,Light,10 minutes,Group of sparkling objects in the sky.,6/25/2020
6/13/2020 17:20,Portsmouth,VA,Light,10 minutes,Group of sparkling objects in the sky.,6/25/2020
6/13/2020 11:00,Flemington,NJ,Other,3 minutes,Moving white light in sky with naked eye looks like a extremely fast satellite bigger than usual. In binoculars shaped like a M on top,6/25/2020
6/13/2020 10:15,Fairfax,VA,Light,10 minutes,Impossible movement for a plane or balloon,6/25/2020
6/13/2020 6:48,Aliquippa,PA,,,MADAR Node 68,7/9/2020
6/13/2020 5:30,Jonesboro,GA,Teardrop,2 minutes,Ok here we go again..this object was like a comet but at the height or altitude of a plane. It had light behind it as if it was a comet,6/25/2020
6/13/2020 5:27,Pine Mountain,GA,Light,5 minutes,Bright spotlight looking object slowly moving across the sky,6/25/2020
6/13/2020 5:25,Salisbury,NC,Teardrop,1-2 minutes,Saw spear or teardrop structure streaming across the sky with a vapor trail and cast off glare from the rising sun. The object was head,6/25/2020
6/13/2020 5:00,Lehigh Acres,FL,Circle,5-6 minute,I was in the passenger seat I looked out the car window at first I thought I was seeing the moon through the clouds but after looking f,6/25/2020
6/13/2020 4:27,Forsyth,GA,Sphere,2 minutes,Bright light standing still,6/25/2020
6/13/2020 0:40,New York,NY,Light,6-8 minutes,The colorful lights in the sky of NYC,6/25/2020
6/13/2020 0:30,Line Lexington,PA,Unknown,1.5 hours,Bright white slow moving light. ((NUFORC Note: Possible star or planet?? PD)),6/25/2020
6/13/2020 0:00,Weeki Wachee,FL,Circle,~45 minutes,Was looking out of my bedroom window and saw these saucers. They were bright and one of them was purple.They lasted about 45 minutes in,6/25/2020
6/12/2020 23:49,Cincinnati,OH,Circle,1.5 seconds,An orb flashed overhead in a bright flash for approx 1.5-2 seconds. It was a clear night and I saw no other a/c. ((anonymous report)),6/25/2020
6/12/2020 23:43,Irmo,SC,,,MADAR Node 95,7/9/2020
